DATETIME,UNIT,ENTRIES,EXITS
2013-01-01 00:00:00,R043,62289010.0,27094253.0
2013-01-01 01:00:00,R043,62289134.0,27094330.0
2013-01-01 02:00:00,R043,62289274.0,27094480.0
2013-01-01 03:00:00,R043,62289411.0,27094635.0
2013-01-01 04:00:00,R043,62289473.0,27094696.0
2013-01-01 05:00:00,R043,62289511.0,27094731.0
2013-01-01 06:00:00,R043,62289541.0,27094753.0
2013-01-01 07:00:00,R043,62289573.0,27094800.0
2013-01-01 08:00:00,R043,62289628.0,27094872.0
2013-01-01 09:00:00,R043,62289694.0,27094934.0
2013-01-01 10:00:00,R043,62289768.0,27095009.0
2013-01-01 11:00:00,R043,62289928.0,27095112.0
2013-01-01 12:00:00,R043,62290257.0,27095248.0
2013-01-01 13:00:00,R043,62290817.0,27095490.0
2013-01-01 14:00:00,R043,62291364.0,27095753.0
2013-01-01 15:00:00,R043,62291943.0,27096034.0
2013-01-01 16:00:00,R043,62292666.0,27096342.0
2013-01-01 17:00:00,R043,62293448.0,27096647.0
2013-01-01 18:00:00,R043,62294143.0,27096876.0
2013-01-01 19:00:00,R043,62294672.0,27097076.0
2013-01-01 20:00:00,R043,62294968.0,27097196.0
2013-01-01 21:00:00,R043,62295177.0,27097306.0
2013-01-01 22:00:00,R043,62295285.0,27097414.0
2013-01-01 23:00:00,R043,62295387.0,27097527.0
2013-01-02 00:00:00,R043,62295501.0,27097582.0
2013-01-02 01:00:00,R043,62295537.0,27097600.0
2013-01-02 02:00:00,R043,62295548.0,27097604.0
2013-01-02 03:00:00,R043,62295559.0,27097610.0
2013-01-02 04:00:00,R043,62295563.0,27097622.0
2013-01-02 05:00:00,R043,62295567.0,27097649.0
2013-01-02 06:00:00,R043,62295600.0,27097775.0
2013-01-02 07:00:00,R043,62295808.0,27098442.0
2013-01-02 08:00:00,R043,62296382.0,27100098.0
2013-01-02 09:00:00,R043,62297567.0,27104310.0
2013-01-02 10:00:00,R043,62298366.0,27107774.0
