DATE,TIME,TEMP,WIND,PREC,RAIN,SNOW,FOG
2013-01-01,00,39.0,10.4,0.00,0,0,0
2013-01-01,01,37.9,3.5,0.00,0,0,0
2013-01-01,02,39.0,6.9,0.00,0,0,0
2013-01-01,03,39.0,9.2,0.00,0,0,0
2013-01-01,04,39.0,6.9,0.00,0,0,0
2013-01-01,05,39.0,6.9,0.00,0,0,0
2013-01-01,06,39.0,10.4,0.00,0,0,0
2013-01-01,07,37.9,6.9,0.00,0,0,0
2013-01-01,08,39.0,6.9,0.00,0,0,0
2013-01-01,09,39.0,10.4,0.00,0,0,0
2013-01-01,10,39.0,5.8,0.00,0,0,0
2013-01-01,11,39.0,4.6,0.00,0,0,0
2013-01-01,12,37.0,9.2,0.00,0,0,0
2013-01-01,13,37.0,0.0,0.00,0,0,0
2013-01-01,14,37.9,6.9,0.00,0,0,0
2013-01-01,15,37.9,6.9,0.00,0,0,0
2013-01-01,16,36.0,10.4,0.00,0,0,0
2013-01-01,17,35.1,4.6,0.00,0,0,0
2013-01-01,18,33.1,5.8,0.00,0,0,0
2013-01-01,19,32.0,4.6,0.00,0,0,0
2013-01-01,20,30.0,6.9,0.00,0,0,0
2013-01-01,21,28.9,11.5,0.00,0,0,0
2013-01-01,22,27.0,0.00,0.00,0,0,0
2013-01-01,23,26.1,5.8,0.00,0,0,0
2013-01-02,00,25.0,10.4,0.00,0,0,0
2013-01-02,01,26.1,9.2,0.00,0,0,0
2013-01-02,03,23.0,10.4,0.00,0,0,0
2013-01-02,04,23.0,0.00,0.00,0,0,0
2013-01-02,05,21.9,0.0,0.00,0,0,0
2013-01-02,06,21.9,3.5,0.00,0,0,0
2013-01-02,07,23.0,3.5,0.00,0,0,0
2013-01-02,08,24.1,4.6,0.00,0,0,0
2013-01-02,09,25.0,5.8,0.00,0,0,0
2013-01-02,10,26.1,9.2,0.00,0,0,0
2013-01-02,11,28.0,4.6,0.00,0,0,0
2013-01-02,12,30.0,0.0,0.00,0,0,0
2013-01-02,13,30.9,8.1,0.00,0,0,0
2013-01-02,14,32.0,0.00,0.00,0,0,0
2013-01-02,15,30.9,9.2,0.00,0,0,0
2013-01-02,16,30.9,6.9,0.00,0,0,0
2013-01-02,17,30.9,3.5,0.00,0,0,0
2013-01-02,18,30.0,5.8,0.00,0,0,0
2013-01-02,19,30.0,0.00,0.00,0,0,0
2013-01-02,20,30.0,4.6,0.00,0,0,0
2013-01-02,21,30.0,5.8,0.00,0,0,0
2013-01-02,22,30.0,4.6,0.00,0,0,0
2013-01-02,23,28.9,6.9,0.00,0,0,0
2013-01-03,00,28.0,5.8,0.00,0,0,0
2013-01-03,01,28.0,3.5,0.00,0,0,0
2013-01-03,02,28.0,0.0,0.00,0,0,0
2013-01-03,03,27.0,4.6,0.00,0,0,0
2013-01-03,04,26.1,0.0,0.00,0,0,0
2013-01-03,05,25.0,3.5,0.00,0,0,0
2013-01-03,06,25.0,0.0,0.00,0,0,0
2013-01-03,07,24.1,0.0,0.00,0,0,0
2013-01-03,08,24.1,3.5,0.00,0,0,0
2013-01-03,09,25.0,4.6,0.00,0,0,0
2013-01-03,10,26.1,5.8,0.00,0,0,0
2013-01-03,11,28.0,3.5,0.00,0,0,0
2013-01-03,12,30.0,8.1,0.00,0,0,0
2013-01-03,13,30.9,9.2,0.00,0,0,0
2013-01-03,14,32.0,3.5,0.00,0,0,0
2013-01-03,15,32.0,0.0,0.00,0,0,0
2013-01-03,16,30.9,8.1,0.00,0,0,0
2013-01-03,17,30.9,0.00,0.00,0,0,0
2013-01-03,18,30.9,8.1,0.00,0,0,0
2013-01-03,19,30.9,5.8,0.00,0,0,0
2013-01-03,20,30.9,8.1,0.00,0,0,0
2013-01-03,21,30.9,0.00,0.00,0,0,0
2013-01-03,22,30.9,8.1,0.00,0,0,0
2013-01-03,23,30.9,6.9,0.00,0,0,0
2013-01-04,00,30.9,5.8,0.00,0,0,0
2013-01-04,01,30.9,4.6,0.00,0,0,0
2013-01-04,02,30.9,5.8,0.00,0,0,0
2013-01-04,03,30.9,3.5,0.00,0,0,0
2013-01-04,04,32.0,4.6,0.00,0,0,0
2013-01-04,05,33.1,3.5,0.00,0,0,0
2013-01-04,06,33.1,3.5,0.00,0,0,0
2013-01-04,07,34.0,12.7,0.00,0,0,0
2013-01-04,08,34.0,4.6,0.00,0,0,0
2013-01-04,09,34.0,3.5,0.00,0,0,0
2013-01-04,10,35.1,12.7,0.00,0,0,0
2013-01-04,11,36.0,0.00,0.00,0,0,0
2013-01-04,12,36.0,6.9,0.00,0,0,0
2013-01-04,13,37.0,9.2,0.00,0,0,0
2013-01-04,14,37.0,15.0,0.00,0,0,0
2013-01-04,15,36.0,6.9,0.00,0,0,0
2013-01-04,16,36.0,15.0,0.00,0,0,0
2013-01-04,17,36.0,9.2,0.00,0,0,0
2013-01-04,18,35.1,8.1,0.00,0,0,0
2013-01-04,19,35.1,6.9,0.00,0,0,0
2013-01-04,20,35.1,13.8,0.00,0,0,0
2013-01-04,21,34.0,11.5,0.00,0,0,0
2013-01-04,22,34.0,8.1,0.00,0,0,0
2013-01-04,23,34.0,8.1,0.00,0,0,0
2013-01-05,00,34.0,11.5,0.00,0,0,0
2013-01-05,01,33.1,10.4,0.00,0,0,0
2013-01-05,02,33.1,6.9,0.00,0,0,0
2013-01-05,03,32.0,11.5,0.00,0,0,0
